source,task,depth,action,residual,is_policy_pick,is_measured_best,spread
branch_records_p3.jsonl,pegasus3-fill30-a3.0-25,23,0,0.0794109083850934,1,0,0.02466275232919253
branch_records_p3.jsonl,pegasus3-fill30-a3.0-25,23,8,0.07703319099378898,0,1,0.02466275232919253
branch_records_p3.jsonl,pegasus3-fill30-a3.0-25,23,42,0.08875194099378905,0,0,0.02466275232919253
branch_records_p3.jsonl,pegasus3-fill30-a3.0-25,23,85,0.10169594332298151,0,0,0.02466275232919253
branch_records_p3.jsonl,pegasus3-fill30-a3.0-25,43,8,0.1163625776397518,0,0,0.021751261645962833
branch_records_p3.jsonl,pegasus3-fill30-a3.0-25,43,12,0.09866314052795057,1,0,0.021751261645962833
branch_records_p3.jsonl,pegasus3-fill30-a3.0-25,43,99,0.10397661102484496,0,0,0.021751261645962833
branch_records_p3.jsonl,pegasus3-fill30-a3.0-25,43,201,0.09461131599378897,0,1,0.021751261645962833
branch_records_p3.jsonl,pegasus3-fill30-a3.0-25,49,5,0.08353552018633553,0,0,0.03213557841614906
branch_records_p3.jsonl,pegasus3-fill30-a3.0-25,49,10,0.0703731560559008,1,0,0.03213557841614906
branch_records_p3.jsonl,pegasus3-fill30-a3.0-25,49,44,0.07019118788819897,0,1,0.03213557841614906
branch_records_p3.jsonl,pegasus3-fill30-a3.0-25,49,82,0.10232676630434803,0,0,0.03213557841614906
branch_records_p3.jsonl,pegasus3-fill30-a3.0-25,68,23,0.10776154891304368,1,0,0.020259122670807483
branch_records_p3.jsonl,pegasus3-fill30-a3.0-25,68,24,0.09683132763975189,0,0,0.020259122670807483
branch_records_p3.jsonl,pegasus3-fill30-a3.0-25,68,29,0.09000145574534177,0,1,0.020259122670807483
branch_records_p3.jsonl,pegasus3-fill30-a3.0-25,68,91,0.11026057841614925,0,0,0.020259122670807483
branch_records_p3.jsonl,pegasus3-fill30-a3.0-43,4,17,0.1046610667293233,0,0,0.026888510338345634
branch_records_p3.jsonl,pegasus3-fill30-a3.0-43,4,24,0.07777255639097766,0,1,0.026888510338345634
branch_records_p3.jsonl,pegasus3-fill30-a3.0-43,4,60,0.09564438439849632,1,0,0.026888510338345634
branch_records_p3.jsonl,pegasus3-fill30-a3.0-43,4,105,0.09931567199248123,0,0,0.026888510338345634
branch_records_p3.jsonl,pegasus3-fill30-a3.0-43,18,2,0.06866776315789501,1,1,0.06909363251879679
branch_records_p3.jsonl,pegasus3-fill30-a3.0-43,18,5,0.1377613956766918,0,0,0.06909363251879679
branch_records_p3.jsonl,pegasus3-fill30-a3.0-43,18,95,0.12736430921052652,0,0,0.06909363251879679
branch_records_p3.jsonl,pegasus3-fill30-a3.0-43,18,118,0.07984316259398515,0,0,0.06909363251879679
branch_records_p3.jsonl,pegasus3-fill30-a3.0-43,24,1,0.09377937030075201,1,0,0.09789121240601487
branch_records_p3.jsonl,pegasus3-fill30-a3.0-43,24,8,0.05473155545112814,0,1,0.09789121240601487
branch_records_p3.jsonl,pegasus3-fill30-a3.0-43,24,114,0.10990366541353395,0,0,0.09789121240601487
branch_records_p3.jsonl,pegasus3-fill30-a3.0-43,24,125,0.15262276785714302,0,0,0.09789121240601487
branch_records_p3.jsonl,pegasus3-fill30-a3.0-43,70,60,0.07073836936090255,0,0,0.05298402255639081
branch_records_p3.jsonl,pegasus3-fill30-a3.0-43,70,68,0.10636454417293262,1,0,0.05298402255639081
branch_records_p3.jsonl,pegasus3-fill30-a3.0-43,70,69,0.1101973684210528,0,0,0.05298402255639081
branch_records_p3.jsonl,pegasus3-fill30-a3.0-43,70,138,0.05721334586466199,0,1,0.05298402255639081
branch_records_p3.jsonl,pegasus3-fill30-a3.0-93,19,0,0.11481481481481468,1,0,0.03250385802469144
branch_records_p3.jsonl,pegasus3-fill30-a3.0-93,19,13,0.1319058641975308,0,0,0.03250385802469144
branch_records_p3.jsonl,pegasus3-fill30-a3.0-93,19,127,0.09940200617283937,0,1,0.03250385802469144
branch_records_p3.jsonl,pegasus3-fill30-a3.0-93,19,168,0.11141975308641959,0,0,0.03250385802469144
branch_records_p3.jsonl,pegasus3-fill30-a3.0-93,20,0,0.11060956790123451,1,0,0.07380401234567906
branch_records_p3.jsonl,pegasus3-fill30-a3.0-93,20,13,0.172511574074074,0,0,0.07380401234567906
branch_records_p3.jsonl,pegasus3-fill30-a3.0-93,20,91,0.10389660493827149,0,0,0.07380401234567906
branch_records_p3.jsonl,pegasus3-fill30-a3.0-93,20,123,0.09870756172839494,0,1,0.07380401234567906
branch_records_p3.jsonl,pegasus3-fill30-a3.0-93,30,10,0.12038966049382707,1,0,0.036728395061728494
branch_records_p3.jsonl,pegasus3-fill30-a3.0-93,30,13,0.09864969135802455,0,1,0.036728395061728494
