host,fill,chain_shape,instances,valid_at_60s,valid_at_300s,mean_attempts
pegasus3,0.7,long,12,1.0,1.0,1.0
pegasus3,0.7,short,12,1.0,1.0,3.4
pegasus3,0.8,long,12,0.83,0.92,81.4
pegasus3,0.8,short,12,0.33,0.42,345.3
pegasus3,0.85,long,12,1.0,1.0,10.0
pegasus3,0.85,short,12,0.0,0.0,479.2
pegasus3,0.9,long,12,0.5,0.58,280.0
pegasus3,0.9,short,12,0.0,0.0,488.1
pegasus3,0.95,long,12,0.17,0.25,410.0
pegasus3,0.95,short,12,0.0,0.0,452.8
zephyr2,0.7,long,12,1.0,1.0,1.0
zephyr2,0.7,short,12,1.0,1.0,1.2
zephyr2,0.8,long,12,1.0,1.0,1.0
zephyr2,0.8,short,12,0.0,0.08,270.9
zephyr2,0.85,long,12,1.0,1.0,2.0
zephyr2,0.85,short,12,0.0,0.0,291.6
zephyr2,0.9,long,12,0.75,0.83,59.7
zephyr2,0.9,short,12,0.0,0.0,262.5
zephyr2,0.95,long,12,0.08,0.25,266.5
zephyr2,0.95,short,12,0.0,0.0,223.8
