source,task,variables,arm,qubits,longest,residual,p_solve,broken
broken_pre_p3.log,pegasus3-fill30-a3.0-22,32,policy,79,7,0.09112177309782309,0.09716796875,0.0788421630859375
broken_pre_p3.log,pegasus3-fill30-a3.0-22,32,pruned,39,3,0.0575683593749984,0.24609375,0.03937530517578125
broken_pre_p3.log,pegasus3-fill30-a3.0-22,32,minorminer,33,,0.05244352921195484,0.1767578125,0.02210235595703125
broken_pre_p3.log,pegasus3-fill30-a3.0-17,34,policy,98,9,0.06827609181568213,0.18408203125,0.061566521139705885
broken_pre_p3.log,pegasus3-fill30-a3.0-17,34,pruned,58,4,0.08679719738652121,0.176025390625,0.06454647288602941
broken_pre_p3.log,pegasus3-fill30-a3.0-17,34,minorminer,39,,0.031560297025447055,0.304443359375,0.018669577205882353
broken_pre_p3.log,pegasus3-fill30-a3.0-19,30,policy,79,9,0.09045930046848435,0.110107421875,0.06951497395833334
broken_pre_p3.log,pegasus3-fill30-a3.0-19,30,pruned,50,4,0.095207357325384,0.057373046875,0.08114420572916667
broken_pre_p3.log,pegasus3-fill30-a3.0-19,30,minorminer,30,,0.03519617759795635,0.42138671875,0.0
broken_pre_p3.log,pegasus3-fill30-a3.0-21,26,policy,74,7,0.13667782738095366,0.121337890625,0.0728290264423077
broken_pre_p3.log,pegasus3-fill30-a3.0-21,26,pruned,45,4,0.18867373511905075,0.045166015625,0.07047213040865384
broken_pre_p3.log,pegasus3-fill30-a3.0-21,26,minorminer,28,,0.12864769345237986,0.371337890625,0.029137244591346152
broken_pre_p3.log,pegasus3-fill30-a3.0-25,32,policy,87,9,0.10027821858723951,0.092529296875,0.0836639404296875
broken_pre_p3.log,pegasus3-fill30-a3.0-25,32,pruned,47,7,0.1242065429687503,0.119140625,0.04607391357421875
broken_pre_p3.log,pegasus3-fill30-a3.0-25,32,minorminer,33,,0.07026926676432278,0.2197265625,0.00791168212890625
broken_pre_p3.log,pegasus3-fill30-a3.0-7,31,policy,92,8,0.05480367100371846,0.43505859375,0.04750504032258065
broken_pre_p3.log,pegasus3-fill30-a3.0-7,31,pruned,47,5,0.06458200220725052,0.249755859375,0.05090725806451613
broken_pre_p3.log,pegasus3-fill30-a3.0-7,31,minorminer,35,,0.02587346073420041,0.476806640625,0.034817603326612906
broken_pre_p3.log,pegasus3-fill30-a3.0-10,29,policy,71,5,0.09728845373376327,0.14501953125,0.08244376346982758
broken_pre_p3.log,pegasus3-fill30-a3.0-10,29,pruned,46,3,0.12428433731446789,0.129638671875,0.07447130926724138
broken_pre_p3.log,pegasus3-fill30-a3.0-10,29,minorminer,30,,0.10573327342300086,0.321533203125,0.029793574892241378
broken_pre_p3.log,pegasus3-fill30-a3.0-5,34,policy,82,7,0.11295761078997939,0.1015625,0.07550407858455882
broken_pre_p3.log,pegasus3-fill30-a3.0-5,34,pruned,47,3,0.12016987295279287,0.093017578125,0.04892147288602941
broken_pre_p3.log,pegasus3-fill30-a3.0-5,34,minorminer,35,,0.05976035645472258,0.190185546875,0.0002082375919117647
broken_pre_p3.log,pegasus3-fill30-a3.0-26,33,policy,105,8,0.16596105792389093,0.06640625,0.13677053740530304
broken_pre_p3.log,pegasus3-fill30-a3.0-26,33,pruned,71,6,0.19091702793834234,0.048828125,0.12327621922348485
broken_pre_p3.log,pegasus3-fill30-a3.0-26,33,minorminer,41,,0.06194680274566626,0.23193359375,0.054524739583333336
broken_pre_p3.log,pegasus3-fill30-a3.0-15,27,policy,67,6,0.08162122601580064,0.213623046875,0.06941731770833333
broken_pre_p3.log,pegasus3-fill30-a3.0-15,27,pruned,38,4,0.08662307773701906,0.2587890625,0.051595052083333336
broken_pre_p3.log,pegasus3-fill30-a3.0-15,27,minorminer,29,,0.0288339446952606,0.461669921875,0.0003345630787037037
broken_pre_p3.log,pegasus3-fill30-a3.0-24,30,policy,95,12,0.20306745558925993,0.0849609375,0.10680338541666666
broken_pre_p3.log,pegasus3-fill30-a3.0-24,30,pruned,61,6,0.22676729040295202,0.079345703125,0.12093098958333333
broken_pre_p3.log,pegasus3-fill30-a3.0-24,30,minorminer,33,,0.11049542352686305,0.212646484375,0.029134114583333332
broken_pre_p3.log,pegasus3-fill30-a3.0-3,26,policy,66,7,0.10387296365914778,0.420166015625,0.08473557692307693
broken_pre_p3.log,pegasus3-fill30-a3.0-3,26,pruned,43,6,0.08904585682957407,0.509521484375,0.06405874399038461
broken_pre_p3.log,pegasus3-fill30-a3.0-3,26,minorminer,31,,0.06847685620300764,0.64892578125,0.017737755408653848
broken_pre_p3.log,pegasus3-fill30-a3.0-8,33,policy,79,8,0.11654273343373471,0.136474609375,0.07734079071969698
broken_pre_p3.log,pegasus3-fill30-a3.0-8,33,pruned,51,3,0.10876317771084296,0.144287109375,0.07265033143939394
broken_pre_p3.log,pegasus3-fill30-a3.0-8,33,minorminer,34,,0.0887165850903616,0.32666015625,0.010912346117424242
broken_pre_p3.log,pegasus3-fill30-a3.0-9,32,policy,73,5,0.08717516447368394,0.283447265625,0.07050323486328125
broken_pre_p3.log,pegasus3-fill30-a3.0-9,32,pruned,46,3,0.17016858552631575,0.060791015625,0.08231353759765625
broken_pre_p3.log,pegasus3-fill30-a3.0-9,32,minorminer,34,,0.03938939144736827,0.49267578125,0.00380706787109375
broken_pre_p3.log,pegasus3-fill30-a3.0-23,28,policy,97,8,0.14527196344339569,0.103515625,0.1087646484375
broken_pre_p3.log,pegasus3-fill30-a3.0-23,28,pruned,57,6,0.125068175117924,0.022216796875,0.07904052734375
broken_pre_p3.log,pegasus3-fill30-a3.0-23,28,minorminer,35,,0.251580925707545,0.054931640625,0.0677490234375
broken_pre_p3.log,pegasus3-fill30-a3.0-27,24,policy,59,5,0.143037288560778,0.128662109375,0.06705729166666667
broken_pre_p3.log,pegasus3-fill30-a3.0-27,24,pruned,42,4,0.14719887829701578,0.134765625,0.05767822265625
broken_pre_p3.log,pegasus3-fill30-a3.0-27,24,minorminer,30,,0.10005061998279667,0.193603515625,0.042429606119791664
broken_pre_p3.log,pegasus3-fill30-a3.0-11,25,policy,60,6,0.039243693524096526,0.49853515625,0.027236328125
broken_pre_p3.log,pegasus3-fill30-a3.0-11,25,pruned,28,2,0.011292827560240897,0.762939453125,0.03287109375
broken_pre_p3.log,pegasus3-fill30-a3.0-11,25,minorminer,26,,0.014733151355421508,0.68603515625,1.953125e-05
broken_pre_p3.log,pegasus3-fill30-a3.0-0,17,policy,42,5,0.042616962355907964,0.7421875,0.025304457720588234
broken_pre_p3.log,pegasus3-fill30-a3.0-0,17,pruned,26,4,0.01815787103746382,0.825439453125,0.012896369485294117
broken_pre_p3.log,pegasus3-fill30-a3.0-0,17,minorminer,18,,0.007896929034582192,0.88232421875,0.0
broken_pre_p3.log,pegasus3-fill30-a3.0-1,28,policy,55,5,0.11505007276348232,0.311279296875,0.05743408203125
broken_pre_p3.log,pegasus3-fill30-a3.0-1,28,pruned,36,3,0.04074276194852992,0.553955078125,0.03540910993303571
broken_pre_p3.log,pegasus3-fill30-a3.0-1,28,minorminer,29,,0.05228439031862805,0.536376953125,0.004481724330357143
broken_pre_p3.log,pegasus3-fill30-a3.0-2,29,policy,67,6,0.03388794163685178,0.567626953125,0.06440261314655173
broken_pre_p3.log,pegasus3-fill30-a3.0-2,29,pruned,38,3,0.020009922853309527,0.552001953125,0.07290544181034483
broken_pre_p3.log,pegasus3-fill30-a3.0-2,29,minorminer,30,,0.009003941189624167,0.736572265625,0.0005303744612068966
