group,run,order,evaluation,rate,instances
quality-cell ladder,clone_long_local_p3,0,init,1.0,4
quality-cell ladder,clone_long_local_p3,1,epoch 49,1.0,4
quality-cell ladder,clone_long_local_p3,2,epoch 99,1.0,4
quality-cell ladder,clone_long_local_p3,3,epoch 149,1.0,4
quality-cell ladder,clone_long_local_p3,4,epoch 199,1.0,4
quality-cell ladder,clone_long_local_p3,5,final,1.0,4
quality-cell ladder,clone_long_physics_p3,0,init,1.0,4
quality-cell ladder,clone_long_physics_p3,1,epoch 49,1.0,4
quality-cell ladder,clone_long_physics_p3,2,epoch 99,1.0,4
quality-cell ladder,clone_long_physics_p3,3,epoch 149,1.0,4
quality-cell ladder,clone_long_physics_p3,4,epoch 199,1.0,4
quality-cell ladder,clone_long_physics_p3,5,final,1.0,4
quality-cell ladder,clone_pegasus3_f30,0,init,1.0,4
quality-cell ladder,clone_pegasus3_f30,1,epoch 9,1.0,4
quality-cell ladder,clone_pegasus3_f30,2,epoch 19,1.0,4
quality-cell ladder,clone_pegasus3_f30,3,epoch 29,1.0,4
quality-cell ladder,clone_pegasus3_f30,4,final,1.0,4
quality-cell ladder,r30_p3_s0,0,init,0.75,4
quality-cell ladder,r30_p3_s0,1,iter 1,0.75,4
quality-cell ladder,r30_p3_s0,2,iter 3,0.9166666666666666,4
quality-cell ladder,r30_p3_s0,3,iter 5,0.75,4
quality-cell ladder,r30_p3_s0,4,iter 7,0.9166666666666666,4
quality-cell ladder,r30_p3_s0,5,iter 9,0.8333333333333333,4
quality-cell ladder,r30_p3_s0,6,iter 11,1.0,4
quality-cell ladder,r30_p3_s0,7,iter 13,0.8333333333333333,4
quality-cell ladder,r30_p3_s0,8,iter 15,1.0,4
quality-cell ladder,r30_p3_s0,9,iter 17,0.9166666666666666,4
quality-cell ladder,r30_p3_s0,10,iter 19,0.9166666666666666,4
quality-cell ladder,r30_p3_s0,11,iter 21,0.8333333333333333,4
quality-cell ladder,r30_p3_s0,12,iter 23,1.0,4
quality-cell ladder,r30_p3_s0,13,iter 25,1.0,4
quality-cell ladder,r30_p3_s0,14,iter 27,1.0,4
quality-cell ladder,r30_p3_s1,0,init,0.9166666666666666,4
