study,schema,arm,task,policy_residual,policy_p_solve,minorminer_residual,evaluation
pegasus3,local,continued_feasibility,,0.04437187499999944,0.421142578125,0.01519999999999978,final
pegasus3,local,continued_feasibility,,0.1021092732747403,0.12646484375,0.05403137207031208,final
pegasus3,local,continued_feasibility,,0.08443558500542399,0.23828125,0.034984663096528805,final
pegasus3,local,continued_feasibility,,0.20465287813101973,0.03857421875,0.06258467304913445,final
pegasus3,local,frozen,,0.03893906249999953,0.440185546875,0.01519999999999978,final
pegasus3,local,frozen,,0.09217071533203125,0.145751953125,0.05403137207031208,final
pegasus3,local,frozen,,0.07541562161062951,0.30224609375,0.034984663096528805,final
pegasus3,local,frozen,,0.14442023422447037,0.061279296875,0.06258467304913445,final
pegasus3,local,quality,,0.040993749999999565,0.421630859375,0.01519999999999978,final
pegasus3,local,quality,,0.08044433593750015,0.1513671875,0.05403137207031208,final
pegasus3,local,quality,,0.08379795959869894,0.273681640625,0.034984663096528805,final
pegasus3,local,quality,,0.16015436837668548,0.133544921875,0.06258467304913445,final
pegasus3,physics,continued_feasibility,,0.0012601846122114596,0.994384765625,0.0009088799504953697,final
pegasus3,physics,continued_feasibility,,0.08272928587147865,0.152587890625,0.035730496258803486,final
pegasus3,physics,continued_feasibility,,0.06759860720973569,0.109130859375,0.03208574730805179,final
pegasus3,physics,continued_feasibility,,0.04533029244306403,0.500732421875,0.02574040825569374,final
pegasus3,physics,continued_feasibility,,0.0468215133613076,0.2607421875,0.03190736804328644,final
pegasus3,physics,continued_feasibility,,0.07379195601851814,0.38916015625,0.043465470679012796,final
pegasus3,physics,continued_feasibility,,0.01384926556647929,0.83349609375,0.015456753277153222,final
pegasus3,physics,continued_feasibility,,0.030376651422763686,0.5556640625,0.02340772675304838,final
pegasus3,physics,continued_feasibility,,0.1516390357334039,0.10205078125,0.08765223501070571,final
pegasus3,physics,continued_feasibility,,0.08641823050902482,0.186767578125,0.04732301063144495,final
pegasus3,physics,continued_feasibility,,0.049078288069259624,0.343505859375,0.02501445386622442,final
pegasus3,physics,continued_feasibility,,0.011983725382932067,0.7666015625,0.00898138334245072,final
pegasus3,physics,continued_feasibility,,0.014674272486772411,0.757568359375,0.006858327821869499,final
pegasus3,physics,continued_feasibility,,0.022418900041390383,0.607421875,0.012800406146522975,final
pegasus3,physics,continued_feasibility,,0.06716377044392563,0.11572265625,0.035706136828270334,final
pegasus3,physics,continued_feasibility,,0.10594586473492754,0.34423828125,0.035237461018710656,final
pegasus3,physics,continued_feasibility,,0.028386114567380768,0.48486328125,0.018850796803215775,final
pegasus3,physics,continued_feasibility,,0.07980497756807137,0.193603515625,0.045352142636138966,final
pegasus3,physics,continued_feasibility,,0.06745032793209965,0.36083984375,0.03363715277777854,final
pegasus3,physics,continued_feasibility,,0.039783118638677936,0.5830078125,0.017692430025445377,final
pegasus3,physics,continued_feasibility,,0.04879264758604253,0.43408203125,0.016009649856596454,final
pegasus3,physics,continued_feasibility,,0.04792504964464833,0.431884765625,0.017592822428930045,final
pegasus3,physics,continued_feasibility,,0.08661986793933395,0.053955078125,0.05682858263598328,final
pegasus3,physics,continued_feasibility,,0.06687339834851748,0.3017578125,0.03510953516514741,final
pegasus3,physics,continued_feasibility,,0.054809320679957946,0.536865234375,0.02924894555214725,final
pegasus3,physics,continued_feasibility,,0.02661933844507801,0.49853515625,0.016460859486447564,final
pegasus3,physics,continued_feasibility,,0.044383144026753966,0.34912109375,0.02318525138376414,final
pegasus3,physics,continued_feasibility,,0.118322595373379,0.16162109375,0.05902495941558458,final
pegasus3,physics,continued_feasibility,,0.05333451704545468,0.39794921875,0.014360795454545565,final
pegasus3,physics,continued_feasibility,,0.03703474967061902,0.24853515625,0.016717360424900813,final
pegasus3,physics,frozen,,0.0016759488448847123,0.992431640625,0.0009088799504953697,final
pegasus3,physics,frozen,,0.09447382537411898,0.09765625,0.035730496258803486,final
pegasus3,physics,frozen,,,,0.03208574730805179,final
pegasus3,physics,frozen,,0.06514662590579488,0.09326171875,0.02574040825569374,final
pegasus3,physics,frozen,,0.06115420715547732,0.16796875,0.03190736804328644,final
pegasus3,physics,frozen,,0.06787229938271575,0.308837890625,0.043465470679012796,final
pegasus3,physics,frozen,,0.029642512289325188,0.5625,0.015456753277153222,final
pegasus3,physics,frozen,,0.02494204141260124,0.58251953125,0.02340772675304838,final
pegasus3,physics,frozen,,0.1370763349839378,0.09130859375,0.08765223501070571,final
pegasus3,physics,frozen,,0.10624899323454048,0.090087890625,0.04732301063144495,final
pegasus3,physics,frozen,,0.09636096121916264,0.17626953125,0.02501445386622442,final
pegasus3,physics,frozen,,0.008278343818380699,0.832763671875,0.00898138334245072,final
pegasus3,physics,frozen,,0.010149705136684301,0.857177734375,0.006858327821869499,final
pegasus3,physics,frozen,,0.02781909664735058,0.5849609375,0.012800406146522975,final
pegasus3,physics,frozen,,0.04739066150700859,0.3447265625,0.035706136828270334,final
pegasus3,physics,frozen,,0.09716898388773462,0.373046875,0.035237461018710656,final
pegasus3,physics,frozen,,0.02744993060872846,0.558349609375,0.018850796803215775,final
pegasus3,physics,frozen,,0.07922967589727935,0.062255859375,0.045352142636138966,final
pegasus3,physics,frozen,,0.1089795524691347,0.215576171875,0.03363715277777854,final
pegasus3,physics,frozen,,0.0361179031488558,0.6171875,0.017692430025445377,final
pegasus3,physics,frozen,,0.051742874641491486,0.39453125,0.016009649856596454,final
pegasus3,physics,frozen,,0.03992801525919702,0.50341796875,0.017592822428930045,final
pegasus3,physics,frozen,,0.1484620162133955,0.029541015625,0.05682858263598328,final
pegasus3,physics,frozen,,0.0753243344248269,0.26318359375,0.03510953516514741,final
pegasus3,physics,frozen,,0.08355101290899616,0.4833984375,0.02924894555214725,final
pegasus3,physics,frozen,,0.060545481900857,0.315185546875,0.016460859486447564,final
pegasus3,physics,frozen,,0.061885594441883233,0.16259765625,0.02318525138376414,final
pegasus3,physics,frozen,,0.12126707927489376,0.208740234375,0.05902495941558458,final
pegasus3,physics,frozen,,0.053401988636363716,0.361328125,0.014360795454545565,final
pegasus3,physics,frozen,,0.052900352025692474,0.28076171875,0.016717360424900813,final
pegasus3,physics,quality,,0.001959570957095875,0.99072265625,0.0009088799504953697,final
pegasus3,physics,quality,,0.10674790933098494,0.06591796875,0.035730496258803486,final
pegasus3,physics,quality,,0.06844715589887454,0.256103515625,0.03208574730805179,final
pegasus3,physics,quality,,0.06170338379917288,0.3544921875,0.02574040825569374,final
pegasus3,physics,quality,,0.060469233105124004,0.166259765625,0.03190736804328644,final
pegasus3,physics,quality,,0.0974754050925916,0.2197265625,0.043465470679012796,final
pegasus3,physics,quality,,0.027016400397939483,0.61767578125,0.015456753277153222,final
pegasus3,physics,quality,,0.03376286204268243,0.510986328125,0.02340772675304838,final
pegasus3,physics,quality,,0.1073215002676637,0.216552734375,0.08765223501070571,final
pegasus3,physics,quality,,0.08670515866624127,0.217529296875,0.04732301063144495,final
pegasus3,physics,quality,,0.057878468927893105,0.3857421875,0.02501445386622442,final
