host,task,rule,rho,draws,qubit_spread,assessed_mean
pegasus6,pegasus6-modular18-1,fewest qubits,0.1646463899845355,8,1,0.598876953125
pegasus6,pegasus6-modular18-1,256-read measurement,0.6265060240963856,8,1,0.598876953125
pegasus6,pegasus6-scalefree16-8,fewest qubits,0.08813576890402883,8,4,0.254638671875
pegasus6,pegasus6-scalefree16-8,shortest chain,0.08297398136450224,8,4,0.254638671875
pegasus6,pegasus6-scalefree16-8,256-read measurement,0.6686746987951807,8,4,0.254638671875
pegasus6,pegasus6-dense16-0,fewest qubits,0.4879500364742666,8,3,0.100341796875
pegasus6,pegasus6-dense16-0,shortest chain,0.4123930494211613,8,3,0.100341796875
pegasus6,pegasus6-dense16-0,256-read measurement,0.8809523809523809,8,3,0.100341796875
pegasus6,pegasus6-dense18-11,fewest qubits,0.7065994945288229,8,7,0.147216796875
pegasus6,pegasus6-dense18-11,shortest chain,0.50709255283711,8,7,0.147216796875
pegasus6,pegasus6-dense18-11,256-read measurement,0.8095238095238095,8,7,0.147216796875
pegasus6,pegasus6-modular18-17,fewest qubits,-0.23145502494313785,8,2,0.81884765625
pegasus6,pegasus6-modular18-17,256-read measurement,0.8383383833392813,8,2,0.81884765625
pegasus6,pegasus6-dense16-18,fewest qubits,0.8400825588825814,8,3,0.3037109375
pegasus6,pegasus6-dense16-18,256-read measurement,0.9761904761904762,8,3,0.3037109375
pegasus6,pegasus6-scalefree16-13,fewest qubits,0.6546536707079771,8,3,0.65234375
pegasus6,pegasus6-scalefree16-13,256-read measurement,0.9523809523809523,8,3,0.65234375
pegasus6,pegasus6-scalefree18-17,fewest qubits,0.5682911427735109,8,3,0.42578125
pegasus6,pegasus6-scalefree18-17,shortest chain,0.5773502691896257,8,3,0.42578125
pegasus6,pegasus6-scalefree18-17,256-read measurement,0.9761904761904762,8,3,0.42578125
pegasus6,pegasus6-modular18-18,fewest qubits,0.2519763153394848,8,1,0.37158203125
pegasus6,pegasus6-modular18-18,256-read measurement,0.7857142857142857,8,1,0.37158203125
pegasus6,pegasus6-modular18-12,256-read measurement,0.8012048192771084,8,0,0.88916015625
pegasus6,pegasus6-dense18-3,fewest qubits,0.1718600156490827,8,5,0.507080078125
pegasus6,pegasus6-dense18-3,256-read measurement,0.9285714285714286,8,5,0.507080078125
pegasus6,pegasus6-clique16-18,fewest qubits,0.2393774995725106,8,2,0.230224609375
pegasus6,pegasus6-clique16-18,shortest chain,0.5773502691896257,8,2,0.230224609375
pegasus6,pegasus6-clique16-18,256-read measurement,0.9581010095306072,8,2,0.230224609375
pegasus6,pegasus6-scalefree16-11,fewest qubits,0.48251749113550346,8,2,0.217529296875
pegasus6,pegasus6-scalefree16-11,256-read measurement,0.7142857142857143,8,2,0.217529296875
pegasus6,pegasus6-dense20-17,fewest qubits,0.17878330548357893,8,3,0.23681640625
pegasus6,pegasus6-dense20-17,256-read measurement,0.9285714285714286,8,3,0.23681640625
pegasus6,pegasus6-modular16-9,fewest qubits,0.1901172751573434,8,1,0.723388671875
pegasus6,pegasus6-modular16-9,shortest chain,0.1901172751573434,8,1,0.723388671875
pegasus6,pegasus6-modular16-9,256-read measurement,-0.29518072289156627,8,1,0.723388671875
pegasus6,pegasus6-clique18-5,fewest qubits,-0.10216188884775938,8,4,0.1923828125
pegasus6,pegasus6-clique18-5,256-read measurement,0.994029797388005,8,4,0.1923828125
pegasus6,pegasus6-modular18-16,fewest qubits,-0.024708310555370042,8,3,0.153076171875
pegasus6,pegasus6-modular18-16,256-read measurement,0.7857142857142857,8,3,0.153076171875
pegasus6,pegasus6-scalefree16-1,fewest qubits,-0.676822513616406,8,3,0.142822265625
pegasus6,pegasus6-scalefree16-1,shortest chain,0.5773502691896257,8,3,0.142822265625
pegasus6,pegasus6-scalefree16-1,256-read measurement,0.9761904761904762,8,3,0.142822265625
pegasus6,pegasus6-dense20-19,fewest qubits,-0.013041013273932527,8,2,0.6171875
pegasus6,pegasus6-dense20-19,shortest chain,0.5773502691896257,8,2,0.6171875
pegasus6,pegasus6-dense20-19,256-read measurement,0.9047619047619048,8,2,0.6171875
pegasus6,pegasus6-dense18-7,fewest qubits,0.30689288508764767,8,4,0.31640625
