host,variables,qubits,named_fill,mean_chain,field_rate,sweeps,reads,p_registered,p_best,minorminer_valid,p_minorminer,source
zephyr1,38,48,0.958,1.211,0.0,2000,512,0.19140625,0.337890625,0,,cell_zephyr1_f95_d0.log
zephyr1,40,48,0.958,1.15,0.0,2000,512,0.181640625,0.21875,0,,cell_zephyr1_f95_d0.log
zephyr1,32,48,0.958,1.438,0.0,2000,512,0.05078125,0.390625,1,0.1796875,cell_zephyr1_f95_d0.log
zephyr1,37,48,0.958,1.243,0.0,2000,512,0.0,0.03515625,0,,cell_zephyr1_f95_d0.log
zephyr1,40,48,0.958,1.15,0.0,2000,512,0.298828125,0.505859375,0,,cell_zephyr1_f95_d0.log
zephyr1,35,48,0.958,1.314,0.0,2000,512,0.013671875,0.08203125,0,,cell_zephyr1_f95_d0.log
zephyr1,34,48,0.958,1.353,0.0,2000,512,0.61328125,0.671875,0,,cell_zephyr1_f95_d0.log
zephyr1,33,48,0.958,1.394,0.0,2000,512,0.08203125,0.4921875,0,,cell_zephyr1_f95_d0.log
zephyr1,41,48,0.958,1.122,0.0,2000,512,0.1796875,0.353515625,0,,cell_zephyr1_f95_d0.log
zephyr1,35,48,0.958,1.314,0.0,2000,512,0.71484375,0.71484375,0,,cell_zephyr1_f95_d0.log
zephyr1,38,48,0.958,1.211,0.0,2000,512,0.0390625,0.208984375,0,,cell_zephyr1_f95_d0.log
zephyr1,34,48,0.958,1.353,0.0,2000,512,0.330078125,0.41015625,0,,cell_zephyr1_f95_d0.log
zephyr1,38,48,0.958,1.211,0.0,2000,512,0.19140625,0.337890625,0,,cell_zephyr1_f95_d2.log
zephyr1,41,48,0.958,1.122,0.0,2000,512,0.13671875,0.14453125,0,,cell_zephyr1_f95_d2.log
zephyr1,33,48,0.958,1.394,0.0,2000,512,0.513671875,0.56640625,1,0.568359375,cell_zephyr1_f95_d2.log
zephyr1,35,48,0.958,1.314,0.0,2000,512,0.099609375,0.1875,0,,cell_zephyr1_f95_d2.log
zephyr1,39,48,0.958,1.179,0.0,2000,512,0.017578125,0.0234375,0,,cell_zephyr1_f95_d2.log
zephyr1,40,48,0.958,1.15,0.0,2000,512,0.630859375,0.66796875,0,,cell_zephyr1_f95_d2.log
zephyr1,34,48,0.958,1.353,0.0,2000,512,0.560546875,0.6484375,1,0.630859375,cell_zephyr1_f95_d2.log
zephyr1,39,48,0.958,1.179,0.0,2000,512,0.345703125,0.345703125,0,,cell_zephyr1_f95_d2.log
zephyr1,37,48,0.958,1.243,0.0,2000,512,0.30859375,0.384765625,0,,cell_zephyr1_f95_d2.log
zephyr1,35,48,0.958,1.314,0.0,2000,512,0.33984375,0.33984375,0,,cell_zephyr1_f95_d2.log
zephyr1,41,48,0.958,1.122,0.0,2000,512,0.236328125,0.310546875,0,,cell_zephyr1_f95_d2.log
zephyr1,37,48,0.958,1.243,0.0,2000,512,0.650390625,0.666015625,0,,cell_zephyr1_f95_d2.log
pegasus2,30,40,0.95,1.267,0.0,200,512,0.080078125,0.40625,0,,confirm_pegasus_f95.log
pegasus2,30,40,0.95,1.267,0.0,2000,512,0.060546875,0.552734375,0,,confirm_pegasus_f95.log
pegasus2,34,40,0.95,1.118,0.0,200,512,0.279296875,0.279296875,0,,confirm_pegasus_f95.log
pegasus2,34,40,0.95,1.118,0.0,2000,512,0.408203125,0.408203125,0,,confirm_pegasus_f95.log
pegasus2,29,40,0.95,1.31,0.0,200,512,0.435546875,0.505859375,1,0.505859375,confirm_pegasus_f95.log
pegasus2,29,40,0.95,1.31,0.0,2000,512,0.541015625,0.611328125,1,0.623046875,confirm_pegasus_f95.log
pegasus2,32,40,0.95,1.188,0.0,200,512,0.228515625,0.380859375,0,,confirm_pegasus_f95.log
pegasus2,32,40,0.95,1.188,0.0,2000,512,0.236328125,0.466796875,0,,confirm_pegasus_f95.log
